
"# TABLE: Signal absolute counts | DoubleMu | mpi=4, mA=1.33"
Cut step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Total (weighted)
eps_kin_prev,0.9685,0.9525,0.9373,0.9383
eps_HLT_prev,0.5883,0.3648,0.1542,0.0317
eps_SV_prev,0.9937,0.9325,0.7727,0.8289
eps_BDT_prev,0.2064,0.3202,0.2508,0.1332

"# TABLE: lxy=[1,10]cm efficiencies | DoubleMu | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,29476,142485,84528,36474
eps_kin,0.9570,0.9772,0.9547,0.9318
eps_HLT,0.5865,0.6558,0.3337,0.1014
eps_SV,0.5785,0.6468,0.3118,0.0937
eps_BDT,0.2812,0.4498,0.2193,0.0646
eps_kin_prev,0.9570,0.9772,0.9547,0.9318
eps_HLT_prev,0.6129,0.6711,0.3495,0.1088
eps_SV_prev,0.9862,0.9863,0.9343,0.9245
eps_BDT_prev,0.4861,0.6954,0.7034,0.6899

"# TABLE: lxy=[10,100]cm efficiencies | DoubleMu | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,1443,17612,50041,17685
eps_kin,0.9369,0.9940,0.9813,0.9692
eps_HLT,0.2405,0.5337,0.3366,0.1716
eps_SV,0.1871,0.4953,0.3087,0.1531
eps_BDT,0.0492,0.4552,0.3078,0.1580
eps_kin_prev,0.9369,0.9940,0.9813,0.9692
eps_HLT_prev,0.2567,0.5369,0.3430,0.1770
eps_SV_prev,0.7781,0.9281,0.9172,0.8922
eps_BDT_prev,0.2630,0.9191,0.9970,1.0321

"# TABLE: Signal absolute counts | DoubleMu | mpi=10, mA=1.00"
Cut step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Total (weighted)
N_total,911340,804161,806777,853360,105584726.4
Kin sel.,203996,176716,147756,83056,15340940.2
HLT presel.,130314,104849,56819,10277,707505.9
SV sel. (chi2<10),129121,102163,51979,9219,686936.4
BDT sel.,15191,45835,38247,7180,96.1

"# TABLE: Signal relative effs wrt N_total | DoubleMu | mpi=10, mA=1.00"
Efficiency,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Weighted.eff
eps_kin,0.2238,0.2198,0.1831,0.0973,0.1470
eps_HLT,0.1430,0.1304,0.0704,0.0120,0.0069
eps_SV,0.1417,0.1270,0.0644,0.0108,0.0067
eps_BDT,0.0167,0.0570,0.0474,0.0084,9.35e-07

"# TABLE: Signal relative effs wrt previous step | DoubleMu | mpi=10, mA=1.00"
Efficiency,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Weighted.eff
eps_kin,0.2238,0.2198,0.1831,0.0973,0.1470
eps_HLT,0.6388,0.5933,0.3845,0.1237,0.0458
eps_SV,0.9908,0.9744,0.9148,0.8971,0.9715
eps_BDT,0.1176,0.4486,0.7358,0.7788,1.46e-04

"# TABLE: 95% CL upper limit on B(H->psipsibar) | DoubleMu | mpi=10, mA=1.00 | sigma_ggH=43.9 pb, L=109.95/fb, B(A'->mumu)=0.307"
FPR,BDT threshold,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
1e-01,0.4658,0.02045,0.01826,0.0361,0.2312
1e-02,0.9276,0.009137,0.006447,0.0119,0.07543
1e-03,0.9895,0.005546,0.002541,0.00412,0.02558
1e-04,0.9975,0.00458,0.001136,0.001492,0.008912

"# TABLE: Asymptotic significance p0 (Z) | DoubleMu | mpi=10, mA=1.00 | sigmaxBR=0.439 pb, L=109.95/fb"
FPR,BDT threshold,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
1e-01,0.4658,"0.211 (0.80 sigma)","0.184 (0.90 sigma)","0.324 (0.46 sigma)","0.472 (0.07 sigma)"
1e-02,0.9276,"0.0359 (1.80 sigma)","0.00536 (2.55 sigma)","0.0834 (1.38 sigma)","0.414 (0.22 sigma)"
1e-03,0.9895,"0.00151 (2.97 sigma)","4.96e-11 (6.47 sigma)","3.28e-05 (3.99 sigma)","0.26 (0.64 sigma)"
1e-04,0.9975,"0.000165 (3.59 sigma)","6.16e-47 (14.34 sigma)","3.23e-28 (10.95 sigma)","0.0323 (1.85 sigma)"

"# TABLE: lxy=[0,1]cm efficiencies | DoubleMu | mpi=10, mA=1.00"
Step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
N_lxy,195034,93909,50055,40979
